source,target,similarity
8T73_A_sample_2,4LPK_B_sample_2,0.7513864865403469
8JGD_A_native,8BLR_A_native,0.9655274465060019
8JGD_A_native,8CPR_A_native,0.9655274465060019
8JGD_A_native,4LPK_B_native,0.9435140283686763
8JGD_A_native,4LPK_B_sample_2,0.5350675514088955
8JGD_A_sample_1,8JGD_A_sample_2,0.6578932584762588
8JGD_A_sample_1,8BLR_A_sample_1,0.5089638427401844
8JGD_A_sample_1,4LPK_B_sample_1,0.5632474275272686
8JGD_A_sample_1,4LPK_B_sample_2,0.5673331840484367
8JGD_A_sample_2,8CPR_A_sample_1,0.5269057885380766
8JGD_A_sample_2,8CPR_A_sample_2,0.5272732854818831
8JGD_A_sample_2,4LPK_B_sample_1,0.5657707658812022
8JGD_A_sample_2,4LPK_B_sample_2,0.5626510107789338
8BLR_A_native,8CPR_A_native,1.0
8BLR_A_native,4LPK_B_native,0.9327982201255314
8BLR_A_native,4LPK_B_sample_2,0.5139572910303432
8BLR_A_sample_1,8BLR_A_sample_2,0.7161045701541664
8BLR_A_sample_1,8CPR_A_sample_1,0.7576100652316864
8BLR_A_sample_1,8CPR_A_sample_2,0.6296336740001811
8BLR_A_sample_2,8CPR_A_sample_1,0.6431598969457505
8BLR_A_sample_2,8CPR_A_sample_2,0.651077473041324
8CPR_A_native,4LPK_B_native,0.9327982201255314
8CPR_A_native,4LPK_B_sample_2,0.5139572910303432
8CPR_A_sample_1,8CPR_A_sample_2,0.7525255682766636
8CPR_A_sample_1,4LPK_B_sample_1,0.5306441313477437
8CPR_A_sample_1,4LPK_B_sample_2,0.5071775993357706
8CPR_A_sample_2,4LPK_B_sample_1,0.5071613489387482
8CPR_A_sample_2,4LPK_B_sample_2,0.5050941005663298
4LPK_B_native,4LPK_B_sample_1,0.5177405204029516
4LPK_B_native,4LPK_B_sample_2,0.5595145738615015
4LPK_B_sample_1,4LPK_B_sample_2,0.818240033345492
